SMD,Candidate Name,Website,Social,Incumbent
6A01,Scott Burger,,,
4E04,Hal Gordon,,ashotdog (x),
5C02,ian walton,,,
4D04,Eliza Cava,,"Twitter @elizacava, https://elizacava.com/anc/",
6C01,Jeremiah Foxwell,,,
4B01,Doug Payton,,,
2B01,Colton Flower,,,
1D01,James Benson,,,
8A01,Renée Moore,,www.instagram.com/reneemoore4anc,
3C01,Samuel Littauer,,@swlittauer on Twitter,
6C05,Daniela Kelley McInerney,,,
6B09,Karen Hughes,,,
7D09,Ashley Schapitl,,,Yes
2B07,Libby Franklin,,,
3/4G03,James Nash,,,Yes
5D01,Hector Arbuckle,,,
3A04,Claire Patricia McCafferty,,,
3A02,Gracemary Allen,,,
8D01,Dionne Yvette Brown,,,
1E07,Brian Footer,,Footerforanc.com; @bdfooter,Yes
4B03,Keenan Courtland,,,
4E03,Maria F Barry,,,Yes
4D05,Stephen Marencic,,,Yes
7C08,Brandon Scott,,,
3A03,Maria Perisic,,,
2F04,Kyle Oliver,,,
1B02,Frank Chauvin,,,
1B07,Matthew Holden,,,
3E04,Tom Quinn,,,Yes
4E05,Camsie McAdams,,,
7E04,Natasha Dupee,https://secure.actblue.com/donate/dupeefordc,@DupeeforDC,Yes
8D06,Patrice Lancaster,,,
7C08,Stanley Monickam,,,
7B05,Elizabeth Reddick,,,
6C07,Tony T Goodman,,,Yes
3/4G01,Lisa R. Gore,,@GoreforANC34G01,Yes
5F04,Mark Galvan,,@MarkforANC5F04,Yes
5F01,Nicole G. Jones,,,
5C07,VJ Kapur,,https://x.com/vjkapur,Yes
6E08,Dale Prince,,@Dale6E08,
6C06,Andrew R. Hayes,,,
7F02,Ashley Renee Ruff,,Twitter@Ruff4DC,Yes
8F02,Markita Bryant,,Twitter: @MarkitaBryantDC - Instagram: @MarkitaBryantDC - Facebook: Markita Bryant - DC,
1C04,Marie-Elise Diamond,,,
1D03,Erika Nunez,,@erika4dc,Yes
3/4G06,Peter Gosselin,,,Yes
8B06,Marcus Hickman,,www.micknation.com,
1A10,Vida Rangel,,@voteforvida,
8E01,Robin Scott,,,
5D06,Kathy Henderson,,kathyhendersonfordccouncil.com,Yes
4C06,Christen Boas Hayes,,christen4anc.com; cbhXcbh on Twitter and Instagram,
1E02,Audra Grant,,,
1B03,J. Swiderski,,https://twitter.com/JS_1B03,
3F05,Nathaniel Bowman,,,
7C03,Carlos Richardson,https://gofund.me/9f8ceb49,"Facebook: Washington, DC ANC 7C03 Instagram: commissionercarlosrichardson7c",
1B08,Sabel Harris,,Twitter: @sabelharris,Yes
8A06,Scott Thach,,TBA,
5B05,Mónica Martínez López,,@Monica4ANC,
4C06,Maggie  Dart-Padover,,,
4D08,Jenn Kauffman,https://www.jennkauffman.com,@jenn4D08,
2A03,Trupti J Patel,https://secure.actblue.com/donate/truptipatel4anc,www.truptijpatel.com,Yes
1E04,Rashida Brown,,@rashidabrowndc,Yes
1E03,Philippa Hawker,,,
2B05,Alex Marshall,,http://twitter.com/a_r_marshall,
1E05,Philip Newland,,,
1C05,Scott Olesen,,,
5B03,Jingwen Sun,https://secure.actblue.com/donate/elect-jingwen-sun-1/,www.electjingwensun.com,
1B06,Miguel Trindade Deramo,https://secure.actblue.com/donate/miguel-for-anc,X @miguel_anc_dc; Instagram @miguel.anc.dc,
4D04,Chrysanthe Courniotes,,,Yes
1C06,Lynda Laughlin,,https://lyndaanc1c06.com/,Yes
3C07,Gawain Kripke,,@gawain4anc,Yes
1D01,Jay Falk,,Linktr.ee/JayFalkDC,
3/4G05,Karrenthya Simmons,,,
6A04,Amber Gove,,@AmberGove,Yes
3C02,Adam J. Prinzo,,@Adam3C02 on X,Yes
3B01,Kevin Lavezzo,,,Yes
2B01,Anthony Musa,,@anthonydmusa,
4B03,Joel Gwadz,,,
1D06,Angela Allison,,Twitter: @angelaallisonDC,Yes
1E06,Josh Jacobson,,https://x.com/joshjacobsondc,Yes
8F03,Brian Strege,,https://x.com/stregeanc,Yes
3D01,Andrew Heimert,,,
8F02,Antonio Rossi,https://donorbox.org/antonio-rossi-for-anc-6-8f02,Twitter / X: @S_AntonioRossi,
4D07,Emma Treat,,https://x.com/emmatreat4d07,
3C06,"Girish ""Jay"" Bose",,Instagram: @jaybosedc,
2E02,Nancy Groth,,,
1C09,Katherine Swanson,https://secure.actblue.com/donate/katherine-for-anc?refcode=GGW,https://x.com/kswansonpalmer,
2E07,Daniel Chao,,,
4E05,Ulysses E. Campbell,,uc4dc.com,Yes
5B07,Zahid Rathore,,,
8B04,Kimberly Little,,Kimberly little anc,Yes
2E02,Topher Mathews,,,Yes
1D05,Omar Parbhoo,,,Yes
1B02,Francois Barrilleaux,,,
5B06,"Sukhprita ""Prita"" Piekara",,https://x.com/PritaPiekara,Yes
1A04,Jeremy Sherman,https://sherman4anc.com/donate,@JShermanANC,Yes
1A05,Ebony Payne,,,
7B10,Dev Myers,https://secure.actblue.com/donate/dev-myers-1,https://www.devmyersfordc.com/,
8A04,Laneice Moore,,,Yes
8C06,Robbie Woodland,,@robbie4ward8 (twitter) robbie woodland (facebook),Yes
1C04,Joe Van Wye,,https://x.com/JoeVanWye,Yes
7C03,Travis R. Swanson,,Twitter: @TeeSwanJr | Spoutible: @Travis,
1B07,Ashleigh Fields,,,Yes
7D06,LaDan W. Johnson,,,
4B10,Jinin Berry,,@JininBerry,
5F02,Aru Sahni,,"https://twitter.com/IAmAru , https://www.aru4anc.com",Yes
8F01,Nicholas (Nic) Wilson,,,Yes
5D09,CRYSTAL  G-CAMPBELL,,Ig: gotasweettooth281 tictok: corriegcampbell1  and ccampbell775,
1A05,Christine Miller,,,
5E04,Huma Imtiaz,,https://www.humaimtiaz.com,Yes
8F08,Elissa De Souza,,twitter.com/ElissaDeSouza,
5B01,Edward Borrego,,,Yes
5F06,Joe Bishop-Henchman,https://www.joeanc.com/,https://twitter.com/joe5f6,Yes
5D06,Charquinta (Char) McCray,,charfor5D06,
4C05,Brittany Kademian,,@kademian87 (Twitter),Yes
8D06,Rev. Wendy Hamilton,,@ANC8D06   @revwendy3,Yes
1B03,S. Gideon Sandford,,,
6A06,Ivory Gaskins,,,
2B09,Christopher Davis,,@CDavisANC,Yes
2A08,Jim Malec,https://secure.actblue.com/donate/jim-malec,https://x.com/JimMalec,
4C03,Mike Warburton,,,
3E02,Amy Hall,,,Yes
7C04,Keith Raphael Hasan-Towery,,X: @towerykr,
2B02,Jeff Rueckgauer,,"@CapitalJeff (Twitter, Bluesky, Threads)",Yes
1D01,Nora Ivory,,https://linktr.ee/noraivory,
1B04,Aaron Lemon-Strauss,,,
8B01,Takema Keyes,,takemakeyes,
3A03,Isaac Bowers,,,
1A10,BILLY J EASLEY,https://www.easleyforanc.com/donate-now,https://x.com/billyez2,Yes
4D06,Stoyan D Dimitrov,,,
7D01,Brian Glover,,,
5E03,Mike Bloomberg,,,
5B02,Nandini Sen,,,Yes
3C03,Janell Pagats,,,Yes
6B07,Vince Mareino,,,Yes
4B06,Tiffani Nichole Johnson,,CommissionerJohnsonANC4B06.com (Website)  @CommissionerJohnson4B06 (Facebook)  @Johnson4B06 (Twitter)  CommissionerJohnsonANC4B06 (Instagram)  CommissionerJohnsonANC4B06 (Threads),Yes
1A07,Mukta Ghorpadey,,Twitter: @MuktaANC,Yes
5E05,Tyler Lopez,,,
7D06,Patricia Stamper,,X-Stamper4DC IG-Stamper4DC,
2G04,Steven McCarty,,"@stevenfordc (Twitter, Facebook, Instagram)",Yes
2B06,Matt Johnson,,https://x.com/MattFor2B06,Yes
3C04,Erin Beard,,,
8B02,Betty,,ANC Commissioner,
2A05,Luke Z. Chadwick,,,
6E06,Nate Coffman,,Campaign website: https://natecoffman4anc.wixsite.com/campaign; Twitter (X): @Coffman6E06,
5E01,Kyle Gardiner,https://donorbox.org/kyle-gardiner-for-anc-5e01,@Kyle4ANC (Twitter),
3A01,Thaddeus Bradley-Lewis,,@Thad3a01 on Twitter/X,Yes
3D01,Chuck Elkins,,,Yes
1C03,Peter Wood,,Twitter (@notPeterWood); Instagram (@peter.da.wood),Yes
2G01,Parker Griffin,,parkergriffinforanc.com,
2G01,Howard W Garrett,,IG&twitter: hgarrett4dc,
5D01,Reginald Shaw-Richardson,,,
6E05,Ahmad Abu-Khalaf,,,
2B08,Zach Adams,,,Yes
8C08,Elizabeth Carter,,@hyf_resourcesdc @pandeechi,
6A01,Paul Spires,,,
1A01,Jaspal S. Bhatia,,,
1A02,Dieter Lehmann Morales,,,Yes
1A03,Carlo Perri,,,Yes
1A06,Anthony Thomas-Davis,,,
1A09,Jake Knoll,,,
1B01,Matt Fay,,,
1B03,Jamie S. Sycamore,,,Yes
1B05,Alan Kensek,,,
1B07,Joseph P. Gorman,,,
1B09,Stephen Hanrahan,,,
1C01,Daniel Michelson-Horowitz,,,
1C09,John Jones,,,
1D07,Gary Decker,,,
1E01,Brad Howard,,,
1E02,Michael J. McGarty,,,
2A02,May Yang,,,
2A04,Ed Comer,,,Yes
2B03,Vincent E. Slatt,,,Yes
2B04,Lawrence Sprowls,,,
2C01,Michael D. Shankle,,,Yes
2C02,Nancy Groth,,,
2C03,Thomas S. Lee,,,Yes
2C04,Jim L. Swart,,,
2D01,Robyn Lipton,,,
2D02,Carole L. Feld,,,Yes
2E01,Kishan Putta,,,Yes
2E03,Paul E. Maysak,,,
2E05,Mimsy Lindner,,,Yes
2E06,Gwendolyn Lohse,,,Yes
2F01,David R. Rubenstein,,,Yes
2F02,Neil Finegold Rocklin,,,Yes
2F03,Joe Florio,,,
2F05,Christopher Dyer,,,
2F06,John Fanning,,,
2F07,Kevin Cataldo,,,
2G02,"Alexander M. ""Alex"" Padro",,,Yes
2G03,"Leroy Joseph Thorpe, Jr.",,,
2G03,Nicole Shea,,,
2G05,Sheena Berry,,,Yes
2G06,Rachelle P. Nigro,,,Yes
3/4G01,Lee Mayer,,,
3/4G02,Bruce Sherman,,,Yes
3/4G03,Carol Grunewald,,,
3/4G04,Mark L Wolfe,,,
3/4G04,Laura Phinizy,,,
3/4G05,Mark E. Rooney,,,
3/4G07,"Elizabeth ""Liz"" Nagy",,,
3/4G07,Matt McFarland,,,
3A05,Ann Lane Mladinov,,,Yes
3B02,Brian Turmail,,,
3B03,Melissa Lane,,,Yes
3B05,Gupi Howie,,,Yes
3B06,S. Robert Rodriguez,,,
3C05,Zach Shaben,,,
3C08,Rick Nash,,,Yes
3D02,Tricia Duncan,,,Yes
3D03,Quentin A. Colón Roosevelt,,,Yes
3D04,Mark M. Blumenthal,,,
3D05,Bernie Horn,,,Yes
3D06,Marilyn Nowalk,,,Yes
3D07,J.P. Szymkowicz,,,Yes
3E01,Matthew Cohen,,,Yes
3E03,Jonathan Bender,,,Yes
3E05,Jeffrey Denny,,,Yes
3E06,Alexandra Gianinno,,,Yes
3F02,Sue Guzman,,,
3F03,Mitchell Baer,,,Yes
3F04,Claudette David,,,Yes
3F05,Adrian Jesus Iglesias,,,
3F06,Courtney Carlson,,,Yes
4A01,Paula Y. Edwards,,,Yes
4A02,Joan Hoyte,,,Yes
4A03,Christian X. Hara,,,
4A04,Patience R. Singleton,,,Yes
4B01,Slobodan Milic,,,
4B05,Sophia Tekola,,,
4B07,Michael Cohen,,,Yes
4B08,Garrett Moore,,,
4B09,Danielle Geong,,,
4C02,Antoine Kirby,,,Yes
4C04,Liz Kovacevic,,,
4C07,Eric Heller,,,
4D02,Abel Amene,,,
4D03,Brendi E. Bluitt,,,
4D07,Kayla D. Baker,,,
4E01,"Aretha ""Nikki"" Jones",,,
4E02,Vince Micone,,,
4E06,Julianna Susan Gonen,,,
5A02,Timothy Thomas,,,
5A03,Emily Singer Lucio,,,Yes
5A06,Derrick O. Holloway Sr.,,,
5A08,Elaine Alston,,,
5A09,Shelagh Bocoum,,,
5B04,Rayseen Woodland,,,
5B04,Ra Amin,,,Yes
5B05,"John J. Feeley, Jr.",,,
5B07,Tosha Crawford,,,
5B07,Kris Haynes,,,
5C01,Konyka Dunson,,,
5C03,Tequia Hicks Delgado,,,Yes
5C04,Shawn Nelson,,,
5C05,Darlene M. Oliver,,,Yes
5D02,Sebrena L. Rhodes,,,Yes
5D03,Anna Roblin,,,Yes
5D05,Salvador Sauceda-Guzman,,,Yes
5D08,Juanita Holsendorff,,,
5E01,Ana Rodriguez,,,
5E02,Karla M. Lewis,,,Yes
5E05,Alice Arcenia Thompson,,,
5E06,Kirby R. Vining,,,Yes
5F03,Patricia L. Williams,,,Yes
5F05,Jennifer Anderson,,,Yes
5F07,Kelly L. Rzendzian,,,
6A02,Mike Velasquez,,,Yes
6A03,Roberta Shapiro,,,Yes
6A05,David Wethington,,,
6A06,Jeff Giertz,,,
6A07,Stephen Kolb,,,Yes
6B01,Tyler Wolanin,,,
6B02,Gerald Jerry Sroufe,,,Yes
6B03,David Sobelsohn,,,Yes
6B06,Burl Haigwood,,,
6B06,Anna Krebs,,,
6C02,Karen J. Wirt,,,
6C03,Jay Adelstein,,,Yes
6C04,Mark Eckenwiler,,,Yes
6D01,Marquell Merlin Washington,,,
6D02,Gottlieb Simon,,,
6D03,Gail Fast,,,Yes
6D04,Andrea M. Pawley,,,
6D05,Chearie Phelps-EL,,,
6D06,Bruce Levine,,,Yes
6D07,"Fredrica (""Rikki"") Kramer",,,Yes
6D08,Rhonda N. Hamilton,,,Yes
6E02,Crystal J Watts,,,
6E03,Kevin M. Rogers,,,Yes
6E07,Davina Carson,,,
6E09,Ritanch Tarun Hans,,,
7B01,John F. Adams,,,Yes
7B02,Jamaal Maurice Pearsall,,,Yes
7B03,Travis R. Swanson,,,Yes
7B04,Keith R. Hasan-Towery,,,
7B06,Kelvin E. Brown,,,Yes
7B08,Angela M. Sydnor,,,
7B09,Kenneth Bellamy II,,,
7B09,Michelle D. Hammond,,,Yes
7C01,Brian A. Glover,,,Yes
7C02,Patricia Williams,,,Yes
7C04,Anthony Lorenzo Green,,,Yes
7C05,Mary L. Gaffney,,,
7C06,LaDan Wallace Johnson,,,
7C06,Patricia Stamper,,,
7C07,Antawan Holmes,,,Yes
7C09,Carrie Brown,,,Yes
7D01,Josh Taborn,,,
7D01,Charles Boston,,,
7D03,Artilie Wright,,,
7D04,Mike Davis,,,
7D05,Ebony Payne,,,Yes
7D06,Marc Friend,,,Yes
7D07,Brett Astmann,,,
7D08,Brian Alcorn,,,Yes
7D10,Dev Myers,,,
7E01,Dawn Cook,,,
7E02,Aaron Harris,,,
7E03,Gail S. Perkins,,,
7E04,Caprice Casson,,,
7E06,Ravi K. Perry,,,
7F01,Tyrell M. Holcomb,,,Yes
7F03,Kimory KSO Orendoff,,,Yes
7F04,Chanettia Nelson,,,
7F05,Brittany N. Hughes,,,Yes
7F06,Frieda Edwards,,,
7F07,Shirley Thompson-Wright,,,Yes
7F07,Beatrice L Evans,,,
7F08,"Shameka ""Meek"" Hayes",,,
7F08,Aaron Dequan Brown,,,
7F08,Nikia Cunningham-Vance,,,
7F08,Jeffrey M. Young-Bey,,,
7F08,Iesha Marks,,,
8A01,Tom Donohue Jr.,,,
8A02,Anthony Foreman,,,
8A03,Andrea Davis,,,
8A05,Jamila White,,,Yes
8A05,LaTasha N Gunnels,,,
8A06,Robin McKinney,,,Yes
8A07,A. Maverick Lemons,,,
8A07,Tomora Redman,,,
8B03,"Thomas Von Williams, Jr",,,
8B05,Joseph Johnson,,,Yes
8B06,Julianna Ferrell,,,
8B06,Rod McGill,,,
8B07,Juanita Beltran,,,
8C01,Georgette Joy Johnson,,,Yes
8C02,Gregory J. White,,,
8C02,Jovan Perry,,,
8C03,Dascha Cleckley,,,Yes
8C04,Kendall Ridley,,,
8C05,Cheryl Moore,,,Yes
8C07,Salim Adofo,,,Yes
8C08,Rene Neal,,,
8D08,Randell Strickland,,,
8E01,Deborah Wells,,,Yes
8E03,Kelly Mikel Williams,,,Yes
8E04,Anita Burrows,,,
8E05,Duane A Moody,,,Yes
8E06,Dolores Bryant,,,Yes
8E07,Th-Juan McLeese-Lewis,,,
8E08,Saudia Jenkins,,,
8E09,Rhonda K Holmes,,,
8E09,Travon Hawkins,,,
8F02,Elissa De Souza,,,
8F04,Edward Daniels,,,Yes
8F05,"Yes, to approve",,,Yes
8F05,"No, to reject",,,
